Galaxy,Type,Distance(Mpc),M_K,low_Mbh,Mbh,high_Mbh,log M_bulge
NGC 1316,E4,20.951,-26.29,1.39E+08,1.69E+08,1.97E+08,11.84
NGC 1332,E6,22.662,-24.73,1.27E+09,1.47E+09,1.68E+09,11.27
NGC 1374,E0,19.571,-23.3,5.39E+08,5.90E+08,6.51E+08,10.65
NGC 1399,E1,20.851,-25.29,4.35E+08,8.81E+08,1.78E+09,11.5
NGC 1407,E0,29.002,-25.87,4.24E+09,4.65E+09,5.38E+09,11.74
NGC 1550,E1,52.509,-24.87,3.16E+09,3.87E+09,4.48E+09,11.33
NGC 3091,E3,53.029,-25.54,3.21E+09,3.72E+09,3.83E+09,11.61
NGC 3379,E1	,10.702,-23.88,3.12E+08,4.16E+08,5.20E+08,10.91
NGC 3607,E1,22.652,-24.79,9.00E+07,1.37E+08,1.82E+08,11.26
NGC 3608,E1,22.752,-24.17,3.66E+08,4.65E+08,5.64E+08,11.01
NGC 3842,E1	,92.2,-25.99,6.28E+09,9.09E+09,1.14E+10,11.77
NGC 4261,E2,32.362,-25.62,4.21E+08,5.29E+08,6.36E+08,11.65
NGC 4291,E2,26.582,-23.72,6.70E+08,9.78E+08,1.29E+09,10.85
NGC 4374,E1	,18.511,-25.6,8.38E+08,9.25E+08,1.02E+09,11.62
NGC 4459,E2,16.011,-23.88,5.62E+07,6.96E+07,8.29E+07,10.88
NGC 4472,E2,16.721,-26.16,2.44E+09,2.54E+09,3.12E+09,11.84
NGC 4473,E5,15.25,-23.77,4.50E+07,9.00E+07,1.35E+08,10.85
M87,E1	,16.681,-25.88,5.78E+09,6.15E+09,6.53E+09,11.72
NGC 4486A,E2,18.361,-21.83,9.20E+06,1.44E+07,1.97E+07,10.04
NGC 4486B,E0,16.261,-20.67,4.00E+08,6.00E+08,9.00E+08,9.64
NGC 4649,E2,16.46,-25.61,3.67E+09,4.72E+09,5.76E+09,11.64
NGC 4697,E5,12.54,-24.13,1.52E+08,2.02E+08,2.53E+08,10.97